movie_id,title,status,year,revenue,budget,budget to rev,popularity,genre,production_countries
4559446.0,Sadie Thompson,Released,1928.0,7000000.0,1000000,7.0,2.195,Drama,United States of America
4714131.0,The Singing Fool,Released,1928.0,5916000.0,388000,15.24742268,1.582,Drama,United States of America
4637188.0,The Divine Woman,Released,1928.0,931000.0,266817,3.489282917,0.869,Drama,United States of America
5359030.0,On Trial,Released,1928.0,1454000.0,130000,11.18461538,0.655,Drama,United States of America
4536724.0,The Broadway Melody,Released,1929.0,4358000.0,379000,11.49868074,6.957,Documentary,United States of America
4538610.0,The Cocoanuts,Released,1929.0,1800000.0,500000,3.6,6.699,Comedy,United States of America
4590384.0,Our Modern Maidens,Released,1929.0,857000.0,283000,3.028268551,3.078,Drama,United States of America
5068343.0,Gold Diggers of Broadway,Released,1929.0,3967000.0,532000,7.456766917,1.543,Comedy,United States of America
4580600.0,Welcome Danger,Released,1929.0,3000000.0,979828,3.06176186,1.511,Comedy,United States of America
4717457.0,Say It with Songs,Released,1929.0,2266000.0,470000,4.821276596,1.4,Documentary,United States of America
4736817.0,Rio Rita,Released,1929.0,2400000.0,678000,3.539823009,0.79,Romance,United States of America
4740572.0,The Desert Song,Released,1929.0,3022000.0,354000,8.536723164,0.688,Documentary,United States of America
4525095.0,All Quiet on the Western Front,Released,1930.0,3270000.0,1448864,2.25694061,16.367,Drama,United States of America
4541362.0,Hell's Angels,Released,1930.0,8000000.0,3950000,2.025316456,10.922,Drama,United States of America
4583656.0,Our Blushing Brides,Released,1930.0,1211000.0,337000,3.59347181,3.324,Drama,United States of America
4712438.0,Son of the Gods,Released,1930.0,1432000.0,436000,3.28440367,1.802,Drama,United States of America
4731479.0,The Runaway Bride,Released,1930.0,204000.0,103000,1.980582524,1.216,Drama,United States of America
4523016.0,Frankenstein,Released,1931.0,12000000.0,291000,41.2371134,25.884,Drama,United States of America
4523782.0,Dracula,Released,1931.0,700000.0,355000,1.971830986,22.098,Horror,United States of America
4522222.0,City Lights,Released,1931.0,4250000.0,1500000,2.833333333,14.114,Comedy,United States of America
4528921.0,The Public Enemy,Released,1931.0,557000.0,151000,3.688741722,13.099,Horror,United States of America
4530413.0,Dr. Jekyll and Mr. Hyde,Released,1931.0,1300000.0,535000,2.429906542,10.98,Horror,United States of America
4537603.0,Cimarron,Released,1931.0,1383000.0,1433000,0.965108165,8.966,Drama,United States of America
4530436.0,Little Caesar,Released,1931.0,752000.0,281000,2.676156584,8.433,Drama,United States of America
4550501.0,The Champ,Released,1931.0,1600000.0,356000,4.494382022,6.049,Drama,United States of America
4548867.0,Mata Hari,Released,1931.0,2227000.0,558000,3.991039427,3.824,Horror,United States of America
4562917.0,Bad Girl,Released,1931.0,1100000.0,100000,11.0,3.766,Romance,United States of America
4561204.0,Five Star Final,Released,1931.0,822000.0,310000,2.651612903,2.778,Horror,United States of America
4598181.0,Trader Horn,Released,1931.0,4200000.0,1300000,3.230769231,1.343,Action,United States of America
4529456.0,Grand Hotel,Released,1932.0,2594000.0,700000,3.705714286,11.747,Drama,United States of America
4546177.0,Red Dust,Released,1932.0,1223000.0,408000,2.99754902,6.862,Romance,United States of America
4599637.0,Emma,Released,1932.0,1972000.0,350000,5.634285714,4.899,Drama,United States of America
4549904.0,One Way Passage,Released,1932.0,1108000.0,350000,3.165714286,3.427,Drama,United States of America
4730608.0,Prosperity,Released,1932.0,1514000.0,628000,2.410828025,2.68,Drama,United States of America
4582581.0,The Lost Squadron,Released,1932.0,732000.0,621000,1.178743961,2.255,Drama,United States of America
4605955.0,As You Desire Me,Released,1932.0,1362000.0,460733,2.95615899,1.815,Drama,United States of America
4616020.0,Strange Interlude,Released,1932.0,1237000.0,654000,1.891437309,1.364,Drama,United States of America
4537971.0,Baby Face,Released,1933.0,451000.0,187000,2.411764706,44.769,Drama,United States of America
4523128.0,King Kong,Released,1933.0,10000000.0,672000,14.88095238,21.668,Action,United States of America
4537554.0,Queen Christina,Released,1933.0,2610000.0,1114000,2.342908438,10.886,Drama,United States of America
4535901.0,Gold Diggers of 1933,Released,1933.0,3200000.0,433000,7.390300231,10.372,Comedy,United States of America
4533764.0,42nd Street,Released,1933.0,2281000.0,439000,5.195899772,10.282,Comedy,United States of America
4536265.0,Little Women,Released,1933.0,2100000.0,424000,4.952830189,9.275,Drama,United States of America
4539079.0,Dinner at Eight,Released,1933.0,2156000.0,435000,4.956321839,8.851,Comedy,United States of America
4538776.0,Cavalcade,Released,1933.0,7630000.0,1180280,6.46456773,8.158,Drama,United States of America
4552452.0,I'm No Angel,Released,1933.0,2850000.0,225000,12.66666667,7.324,Comedy,United States of America
4542184.0,Footlight Parade,Released,1933.0,2416000.0,703000,3.436699858,6.998,Comedy,United States of America
4556934.0,Dancing Lady,Released,1933.0,2400000.0,923055,2.600061751,5.714,Comedy,United States of America
